entry_date,exit_date,ticker,entry_price,exit_price,pnl_pct,exit_reason,hold_days,year
2023-03-31,2023-04-17,MSTR,29.23200035095215,31.30299949645996,7.084698688573865,stop_loss,17,2023
2023-03-31,2023-04-17,SLV,22.1200008392334,23.020000457763672,4.0687142151187405,stop_loss,17,2023
2023-03-31,2023-04-17,GDX,31.458065032958984,33.35430145263672,6.027822810115713,stop_loss,17,2023
2023-03-31,2023-04-19,ETHE,7.6245551109313965,8.745552062988281,14.702457202384188,stop_loss,19,2023
2023-05-31,2023-06-02,CLSK,4.289999961853027,4.150000095367432,-3.263400180197762,stop_loss,2,2023
2023-05-31,2023-06-02,RIOT,12.0,11.710000038146973,-2.4166663487752316,stop_loss,2,2023
2023-05-31,2023-06-05,DAPP,5.625333309173584,5.384109973907471,-4.288160754363391,stop_loss,5,2023
2023-05-31,2023-06-05,BITQ,6.900799751281738,6.617339611053467,-4.107641874054124,stop_loss,5,2023
2023-05-31,2023-06-21,SMH,142.83218383789062,147.79017639160156,3.471201252049805,stop_loss,21,2023
2023-05-31,2023-06-21,WCLD,30.459999084472656,31.110000610351562,2.133951232487896,stop_loss,21,2023
2023-05-31,2023-06-21,BUG,24.29206657409668,23.882875442504883,-1.6844640629633756,stop_loss,21,2023
2023-05-31,2023-06-21,SOXX,155.94920349121094,160.88389587402344,3.164294701313186,stop_loss,21,2023
2023-05-31,2023-06-21,WTAI,18.191434860229492,18.654438018798828,2.545171187026951,stop_loss,21,2023
2023-05-31,2023-06-21,ARKK,40.155113220214844,42.30716323852539,5.359342424234947,stop_loss,21,2023
2023-06-30,2023-07-05,UNG,29.68000030517578,28.440000534057617,-4.177896760000788,stop_loss,5,2023
2023-06-30,2023-07-06,ETHE,8.843416213989258,8.816725730895996,-0.30181190670456326,stop_loss,6,2023
2023-06-30,2023-07-06,CRPT,6.012628555297852,6.450053691864014,7.275106595113678,stop_loss,6,2023
2023-06-30,2023-07-06,ITB,83.54637145996094,79.94793701171875,-4.307110393138636,stop_loss,6,2023
2023-06-30,2023-07-06,XHB,78.99710845947266,76.4097671508789,-3.2752354599423272,stop_loss,6,2023
2023-06-30,2023-07-07,GBTC,17.335140228271484,17.895212173461914,3.2308475029063866,stop_loss,7,2023
